id,link,house_name,address,price,area,length,width,price_per_square,bedroom,floor,toilet,house_type,furnishing_status,legal_status,priority_characteristics,living_size,direction,crawl_time
115454287,https://www.nhatot.com//mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/115454287.htm,Nhà Mặt tiền,,"3,95 tỷ",40 m²,,,"98,75 triệu/m²",4 phòng,3,3 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,Đông Nam,2024-05-01 07:34:00
114087425,https://www.nhatot.com//mua-ban-dat-thanh-pho-thu-dau-mot-binh-duong/114087425.htm,Giảm giá bán nhanh mặt tiền góc dx 75 định hoà gần đường trần ngọc lên,,"4,65 tỷ",244 m²,30 m,8 m,"19,06 triệu/m²",,,,,,,,,,2024-05-01 07:34:01
112920482,https://www.nhatot.com//mua-ban-can-ho-chung-cu-thanh-pho-di-an-binh-duong/112920482.htm,Căn hộ Bcons Polygon diện tích 44m2 1pn1wc giá bán lỗ,,"1,44 tỷ",44 m²,,,"32,73 triệu/m²",1 phòng,,,,,,,,Nam,2024-05-01 07:34:01
112937966,https://www.nhatot.com//mua-ban-dat-huyen-hoa-vang-da-nang/112937966.htm,chào bán lô đất đường chính hoà Phước,,"1,32 tỷ",85 m²,17 m,5 m,"15,53 triệu/m²",,,,,,Đã có sổ,Mặt tiền,,Bắc,2024-05-01 07:34:32
114690076,https://www.nhatot.com//mua-ban-nha-dat-quan-12-tp-ho-chi-minh/114690076.htm,NHÀ SIÊU TO NGÃ TƯGA CÁCH MẶT TIỀN 50m SÁT GÒ VẤP,,"1,1 tỷ",42 m²,8.1 m,5 m,"26,19 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,,2024-05-01 07:34:32
115040095,https://www.nhatot.com//mua-ban-nha-dat-quan-7-tp-ho-chi-minh/115040095.htm,"+ Bán Nhà Đường Số 40 KDC An Phú Hưng, P. Tân Phong - Quận 7",,"14,8 tỷ",72 m²,,,"205,56 triệu/m²",4 phòng,,,"Nhà mặt phố, mặt tiền",,Đã có sổ,,,,2024-05-01 07:34:33
114250865,https://www.nhatot.com//mua-ban-dat-thi-xa-dien-ban-quang-nam/114250865.htm,chào bán lô đất đường nhựa hà đông,,"1,17 tỷ",104 m²,20 m,5 m,"11,25 triệu/m²",,,,,,Đã có sổ,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",,Tây Bắc,2024-05-01 07:34:34
112577536,https://www.nhatot.com//mua-ban-dat-thanh-pho-thu-duc-tp-ho-chi-minh/112577536.htm,"Bán Đất Biệt thự Full thổ cư cách cầu Long Đại 500m, Vin Q9 10 phút",,"10,5 tỷ",237 m²,35 m,6 m,"44,3 triệu/m²",,,,,,Đã có sổ,"Nở hậu,Mặt tiền,Hẻm xe hơi",,,2024-05-01 07:34:34
115220314,https://www.nhatot.com//mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/115220314.htm#px=SR-special_display_ad-[PO-16][PL-default],Nhà đúc lững gần ngay sân bóng Thới Tứ,,"1,65 tỷ",56 m²,,,"29,46 triệu/m²",3 phòng,2,2 phòng,"Nhà ngõ, hẻm",,Sổ chung / công chứng vi bằng,,,Đông Nam,2024-05-01 07:35:06
115505662,https://www.nhatot.com//mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/115505662.htm,Cần Bán- CC Feliz Home- Hoàng Mai- T15a01- toà Fantasy-97m-2 ngủ-2wc,,"6,7 tỷ",97 m²,,,"69,07 triệu/m²",2 phòng,,2 phòng,,,,,,,2024-05-01 07:35:06
115505658,https://www.nhatot.com//mua-ban-dat-thanh-pho-di-an-binh-duong/115505658.htm#px=SR-special_display_ad-[PO-20][PL-default],Lô Đất Sát Bên TTHC Dĩ An. Giá chỉ 2ty150,,"2,15 tỷ",71 m²,14 m,5 m,"30,28 triệu/m²",,,,,,Đã có sổ,Hẻm xe hơi,,Đông Bắc,2024-05-01 07:35:07
115505658,https://www.nhatot.com//mua-ban-dat-thanh-pho-di-an-binh-duong/115505658.htm#px=SR-special_display_ad-[PO-7][PL-default],Lô Đất Sát Bên TTHC Dĩ An. Giá chỉ 2ty150,,"2,15 tỷ",71 m²,14 m,5 m,"30,28 triệu/m²",,,,,,Đã có sổ,Hẻm xe hơi,,Đông Bắc,2024-05-01 07:35:08
115220314,https://www.nhatot.com//mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/115220314.htm#px=SR-special_display_ad-[PO-3][PL-default],Nhà đúc lững gần ngay sân bóng Thới Tứ,,"1,65 tỷ",56 m²,,,"29,46 triệu/m²",3 phòng,2,2 phòng,"Nhà ngõ, hẻm",,Sổ chung / công chứng vi bằng,,,Đông Nam,2024-05-01 07:35:08
115074860,https://www.nhatot.com//mua-ban-dat-quan-tan-phu-tp-ho-chi-minh/115074860.htm,"bán đất MT NGAY CHỢ TÂN HƯƠNG 4x21m sổ vuông, 5,5 TỶ",,"5,5 tỷ",84 m²,21 m,4 m,"65,48 triệu/m²",,,,,,Đã có sổ,"Mặt tiền,Thổ cư toàn bộ",,,2024-05-01 07:35:08
